id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
20,6.0,6.0,5.0,-2.9183688163757324,-2.719886302947998,"[0.868227481842041, 0.9350260496139526]","[0.8290911912918091, 0.9350261092185974]","[0.8482081294059753, 0.9350261092185974]","[0.8888888888888888, 1.0]","[0.8888888888888888, 1.0]","[0.888888883888889, 0.999999995]","[0.6666666666666666, 0.7777777777777778]","[0.6666666666666666, 0.7777777777777778]","[0.6666666616666668, 0.7777777727777778]","[0.7777777777777778, 0.8888888888888888]","[0.7777777777777778, 0.8888888888888888]","[0.7777777727777778, 0.888888883888889]","[0.88, 0.9759579263711495]","[1.3165594234639305e-231, 1.3165594234639305e-231]","[0.7896886630621193, 0.9060507726700878]",0.8919141974991883,0.9608929948917121,0.9727275137539924,0.7579484824778713,0.8971896637078586
21,5.0,5.0,5.0,-2.8668432235717773,-3.118821144104004,"[0.9446872472763062, 0.9303041696548462]","[0.9630051255226135, 0.8849810361862183]","[0.9537582397460938, 0.9070768356323242]","[1.0, 1.0]","[1.0, 0.8333333333333334]","[0.999999995, 0.9090909041322315]","[1.0, 0.9090909090909091]","[1.0, 0.7692307692307693]","[0.999999995, 0.8333333283680556]","[1.0, 1.0]","[1.0, 0.8333333333333334]","[0.999999995, 0.9090909041322315]","[0.9914485766758494, 0.8613109512390087]","[1.1409851298103347e-231, 1.1409851298103347e-231]","[0.974507888228896, 0.8815992915469995]",0.8351977288918941,0.9305168719024429,0.9520457451609785,0.4684630948510147,0.783675237304812
22,4.0,5.0,4.0,-3.055746078491211,-3.2846992015838623,"[1.0000001192092896, 0.8661595582962036]","[1.0000001192092896, 0.9008832573890686]","[1.0000001192092896, 0.8831802010536194]","[1.0, 0.625]","[1.0, 0.7142857142857143]","[0.999999995, 0.6666666616888889]","[1.0, 0.42857142857142855]","[1.0, 0.5]","[0.999999995, 0.4615384565680473]","[1.0, 0.625]","[1.0, 0.7142857142857143]","[0.999999995, 0.6666666616888889]","[0.9993141289437586, 0.6944444444444445]","[1.384292958842266e-231, 1.2387197655613557e-231]","[1.0, 0.6173624592768279]",0.9357488854053306,0.9815077392401351,0.9830636472004247,0.958753229436904,0.9744415386258213
23,6.0,5.0,5.0,-2.906179666519165,-3.168673276901245,"[0.8230794668197632, 0.9819836616516113]","[0.8700779676437378, 0.9456159472465515]","[0.8459264039993286, 0.9634566903114319]","[0.6666666666666666, 1.0]","[0.8571428571428571, 0.9]","[0.7499999950781251, 0.9473684160664821]","[0.2222222222222222, 0.8888888888888888]","[0.2857142857142857, 0.8]","[0.24999999507812506, 0.8421052581717452]","[0.4444444444444444, 1.0]","[0.5714285714285714, 0.9]","[0.4999999950781251, 0.9473684160664821]","[0.6861413043478259, 0.9215917772067505]","[1.3165594234639305e-231, 1.3165594234639305e-231]","[0.6107382986696582, 0.9683004835838187]",0.8957058548009647,0.9617174739490078,0.9736419859526431,0.608680468372461,0.848013309424704
24,5.0,6.0,5.0,-2.9900779724121094,-3.095698356628418,"[0.9088316559791565, 0.8565952181816101]","[0.8333247303962708, 0.8267980813980103]","[0.8694418668746948, 0.8414329290390015]","[0.875, 0.75]","[0.7, 0.75]","[0.7777777728395062, 0.749999995]","[0.625, 0.375]","[0.45454545454545453, 0.3333333333333333]","[0.5263157845983379, 0.35294117148788934]","[0.875, 0.625]","[0.7, 0.625]","[0.7777777728395062, 0.624999995]","[0.5952065677966102, 0.5791284403669725]","[1.2183324802375697e-231, 1.3483065280626046e-231]","[0.7359569917362552, 0.641827417818762]",0.9150985139681668,0.9603418141806054,0.9680804508315856,0.8484678032577447,0.9256300227566453
25,6.0,6.0,6.0,-3.851794004440308,-3.726904392242432,"[0.8184013366699219, 0.8022840023040771]","[0.821638822555542, 0.8087252378463745]","[0.8200169205665588, 0.8054917454719543]","[0.8888888888888888, 0.7777777777777778]","[1.0, 0.875]","[0.9411764656055364, 0.823529406782007]","[0.7272727272727273, 0.6363636363636364]","[0.8888888888888888, 0.7777777777777778]","[0.79999999505, 0.6999999950500001]","[0.6666666666666666, 0.5555555555555556]","[0.75, 0.625]","[0.7058823479584776, 0.5882352891349482]","[0.9024498229043685, 0.9024498229043685]","[1.2627076138080564e-231, 1.2627076138080564e-231]","[0.780763605903974, 0.7380930752814726]",0.8934761899315671,0.848087036086559,0.9096432970213147,0.12920331912564703,0.6289778840778403
26,3.0,5.0,6.0,-3.3550658226013184,-2.932429313659668,"[0.6577954292297363, 0.8329007625579834]","[0.6729003190994263, 0.9229695796966553]","[0.6652621626853943, 0.8756251335144043]","[0.42857142857142855, 0.7142857142857143]","[0.6, 1.0]","[0.499999995138889, 0.8333333284722222]","[0.14285714285714285, 0.5714285714285714]","[0.2, 0.8]","[0.1666666618055557, 0.6666666618055556]","[0.42857142857142855, 0.7142857142857143]","[0.6, 1.0]","[0.499999995138889, 0.8333333284722222]","[0.5009920634920636, 0.9339569160997733]","[1.2508498911928379e-231, 1.2387197655613557e-231]","[0.42029684494110076, 0.7117861101813492]",0.935417597934923,0.9708816611797757,0.9754531576967569,0.8882935149573506,0.944876111277961
27,6.0,4.0,5.0,-3.4744648933410645,-3.425354719161988,"[0.8838119506835938, 0.6500312089920044]","[0.937786340713501, 0.7038383483886719]","[0.9099995493888855, 0.6758655309677124]","[0.9090909090909091, 0.36363636363636365]","[1.0, 0.5]","[0.9523809473922903, 0.42105262670360116]","[0.7142857142857143, 0.07142857142857142]","[0.9090909090909091, 0.125]","[0.799999995072, 0.09090908628099197]","[0.9090909090909091, 0.36363636363636365]","[1.0, 0.5]","[0.9523809473922903, 0.42105262670360116]","[0.9608843537414966, 0.484436198721913]","[1.1640469867513693e-231, 1.0518351895246305e-231]","[0.7177166576427845, 0.28107095295988793]",0.9237510401283796,0.9514010765340682,0.9554732989226384,0.018836874664031698,0.6419037500402461
28,4.0,2.0,2.0,-3.935755491256714,-4.506818771362305,"[0.809977114200592, 0.853509247303009]","[0.8259131908416748, 0.9657384753227234]","[0.8178675174713135, 0.9061621427536011]","[0.8571428571428571, 0.8571428571428571]","[0.75, 1.0]","[0.7999999950222222, 0.9230769181065088]","[0.625, 0.875]","[0.5555555555555556, 1.0]","[0.5882352891349482, 0.9333333283555556]","[0.8571428571428571, 0.8571428571428571]","[0.75, 1.0]","[0.7999999950222222, 0.9230769181065088]","[0.7894438781288935, 0.9746570121951219]","[1.3483065280626046e-231, 1.2183324802375697e-231]","[0.78028200368395, 0.8644174745842261]",0.9339548474625512,0.8832276738136848,0.9402240743652681,0.2115496951083447,0.6783338144290992
29,6.0,6.0,6.0,-3.502918243408203,-4.209921836853027,"[0.7134917974472046, 0.9357810020446777]","[0.6759989261627197, 0.8977948427200317]","[0.6942394971847534, 0.9163944125175476]","[0.8571428571428571, 1.0]","[0.75, 0.7777777777777778]","[0.7999999950222222, 0.8749999950781251]","[0.5555555555555556, 0.7777777777777778]","[0.5, 0.6363636363636364]","[0.5263157844875347, 0.6999999950500001]","[0.7142857142857143, 1.0]","[0.625, 0.7777777777777778]","[0.6666666616888889, 0.8749999950781251]","[0.5308641975308643, 0.8506585743801651]","[1.1896457329133973e-231, 1.3165594234639305e-231]","[0.6003786580292614, 0.8071054387971324]",0.8722714834335333,0.931499558347409,0.9488943396277867,0.7279197140169036,0.8694378706640332
30,6.0,6.0,6.0,-3.3804938793182373,-3.053464889526367,"[0.9999999403953552, 0.8477523326873779]","[0.9999999403953552, 0.9338086843490601]","[0.9999999403953552, 0.8887020945549011]","[1.0, 0.75]","[1.0, 1.0]","[0.999999995, 0.8571428522448981]","[1.0, 0.625]","[1.0, 0.8333333333333334]","[0.999999995, 0.7142857093877552]","[1.0, 0.75]","[1.0, 1.0]","[0.999999995, 0.8571428522448981]","[0.9995, 0.9477215543751747]","[1.2183324802375697e-231, 1.0244914152188952e-231]","[1.0, 0.7004429778639061]",0.8984551512430149,0.9791346275203081,0.9819292397048444,0.9014124433957948,0.9541587702069824
31,3.0,6.0,5.0,-3.46150279045105,-3.0251054763793945,"[0.690101683139801, 0.7950642108917236]","[0.5714181065559387, 0.7597607374191284]","[0.6251770257949829, 0.7770116925239563]","[0.7142857142857143, 0.7142857142857143]","[0.38461538461538464, 0.7142857142857143]","[0.49999999545000007, 0.7142857092857143]","[0.2857142857142857, 0.42857142857142855]","[0.15384615384615385, 0.42857142857142855]","[0.19999999545000013, 0.4285714235714286]","[0.5714285714285714, 0.7142857142857143]","[0.3076923076923077, 0.7142857142857143]","[0.3999999954500001, 0.7142857092857143]","[0.3330498866213152, 0.6944444444444445]","[1.2387197655613557e-231, 1.1193096620723278e-231]","[0.2816822879009484, 0.5868810265703113]",0.894332822787568,0.9670258711196713,0.9737966061163054,0.8882935149573506,0.9430386640644425
32,3.0,6.0,6.0,-4.154725074768066,-3.40822172164917,[0.9999995827674866],[0.9999995827674866],[0.9999995827674866],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[0.996],[1.6034157163765524e-231],[1.0],0.926858994799249,0.9669023124359833,0.9727452993374608,0.9643065147470721,0.9679847088401722
33,4.0,6.0,6.0,-2.9246320724487305,-2.499181270599365,"[1.0, 0.9601824283599854]","[1.0, 0.950764000415802]","[1.0, 0.9554500579833984]","[1.0, 0.875]","[1.0, 0.7777777777777778]","[0.999999995, 0.823529406782007]","[1.0, 0.7142857142857143]","[1.0, 0.625]","[0.999999995, 0.6666666616888889]","[1.0, 0.875]","[1.0, 0.7777777777777778]","[0.999999995, 0.823529406782007]","[0.9993141289437586, 0.78677398989899]","[1.2387197655613557e-231, 1.2387197655613557e-231]","[1.0, 0.757381266927307]",0.9456692447459653,0.9829118558532821,0.9840636656087587,0.9633736924471783,0.976783071303073
34,4.0,5.0,5.0,-2.6855685710906982,-2.4034645557403564,"[0.96622633934021, 0.9615126252174377]","[0.8467170000076294, 0.785808801651001]","[0.9025326371192932, 0.8648267388343811]","[0.875, 1.0]","[0.6363636363636364, 0.5714285714285714]","[0.7368421003878117, 0.7272727226446282]","[0.7142857142857143, 0.8571428571428571]","[0.5, 0.46153846153846156]","[0.5882352892733564, 0.59999999545]","[0.875, 1.0]","[0.6363636363636364, 0.5714285714285714]","[0.7368421003878117, 0.7272727226446282]","[0.6784188034188035, 0.6215706447187929]","[1.2387197655613557e-231, 1.2387197655613557e-231]","[0.6708135035621807, 0.5421878860179605]",0.9084666574124224,0.9793112546479299,0.9808001273097975,0.9633736924471783,0.9744950248016352
35,5.0,4.0,5.0,-2.803398370742798,-2.5761942863464355,"[1.000000238418579, 0.9179636836051941]","[1.000000238418579, 0.9398373961448669]","[1.000000238418579, 0.9287717342376709]","[1.0, 0.7]","[1.0, 0.7]","[0.999999995, 0.699999995]","[1.0, 0.4444444444444444]","[1.0, 0.4444444444444444]","[0.999999995, 0.44444443944444445]","[1.0, 0.7]","[1.0, 0.7]","[0.999999995, 0.699999995]","[0.9996243425995492, 0.6818181818181819]","[1.3165594234639305e-231, 1.3165594234639305e-231]","[1.0, 0.7910024840689134]",0.914747005662059,0.9848054284258503,0.9848488802803108,0.9485158033113847,0.9727233706725152
