id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
226,6.0,5.0,4.5,-2.785929679870605,-3.5234832763671875,"[0.8909667730331421, 0.9186367988586426]","[0.8720271587371826, 0.9562973976135254]","[0.8813952207565308, 0.9370888471603394]","[0.9, 0.8]","[0.9, 1.0]","[0.899999995, 0.8888888839506174]","[0.8181818181818182, 0.5454545454545454]","[0.8181818181818182, 0.6666666666666666]","[0.8181818131818183, 0.5999999950500001]","[0.9, 0.7]","[0.9, 0.875]","[0.899999995, 0.7777777728395062]","[0.9063588552694488, 0.9585301062573791]","[1.1409851298103347e-231, 1.2627076138080564e-231]","[0.8663568159891212, 0.771789741910277]",0.8067226379829678,0.9462236047196966,0.9599714838928374,0.4017624259289277,0.7693191715138207
227,4.0,4.5,2.0,-4.309985160827637,-4.152299880981445,"[0.8717241287231445, 0.8678882718086243]","[0.8005908727645874, 0.7933797836303711]","[0.8346446752548218, 0.8289632201194763]","[0.8333333333333334, 0.8333333333333334]","[0.625, 0.625]","[0.7142857093877552, 0.7142857093877552]","[0.7142857142857143, 0.7142857142857143]","[0.5555555555555556, 0.5555555555555556]","[0.6249999950781252, 0.6249999950781252]","[0.8333333333333334, 0.8333333333333334]","[0.625, 0.625]","[0.7142857093877552, 0.7142857093877552]","[0.7212094907407407, 0.7212094907407407]","[1.2387197655613557e-231, 1.2387197655613557e-231]","[0.7087587532994417, 0.6766779683427844]",0.8439073847156539,0.8890593984874063,0.9200486873257914,0.6441687030765914,0.8177589296299296
228,5.5,5.5,5.0,-4.137658596038818,-3.272477149963379,"[0.6994782090187073, 1.0]","[0.6755327582359314, 1.0]","[0.687296986579895, 1.0]","[0.6, 1.0]","[0.6, 1.0]","[0.5999999950000001, 0.999999995]","[0.4, 1.0]","[0.4, 1.0]","[0.3999999950000001, 0.999999995]","[0.6, 1.0]","[0.6, 1.0]","[0.5999999950000001, 0.999999995]","[0.6147540983606558, 0.9985422740524781]","[1.0009379942300742e-231, 9.602579706020654e-232]","[0.5993297079113747, 1.0]",0.8876389584123971,0.9504973044531704,0.9601706543706033,0.8252646167741914,0.9119775251993217
229,5.5,6.0,5.5,-4.264747142791748,-4.173813819885254,"[0.8176137208938599, 0.7784901857376099]","[0.7932156324386597, 0.7904784083366394]","[0.8052299618721008, 0.7844385504722595]","[0.625, 0.75]","[0.5, 0.75]","[0.555555550617284, 0.749999995]","[0.375, 0.5]","[0.2727272727272727, 0.5]","[0.3157894688088643, 0.4999999950000001]","[0.625, 0.75]","[0.5, 0.75]","[0.555555550617284, 0.749999995]","[0.5637254901960784, 0.738954922628392]","[1.3483065280626046e-231, 1.2183324802375697e-231]","[0.47424640462550594, 0.6249366668590728]",0.6091368231317453,0.9058306791263785,0.911908336516921,0.020901579576040854,0.6128801984064468
230,5.5,5.5,5.5,-3.445693254470825,-3.4656152725219727,"[0.8386795520782471, 0.8672738671302795]","[0.834416389465332, 0.9490372538566589]","[0.8365424871444702, 0.906315267086029]","[0.75, 0.75]","[0.75, 1.0]","[0.749999995, 0.8571428522448981]","[0.4444444444444444, 0.5555555555555556]","[0.4444444444444444, 0.7142857142857143]","[0.44444443944444445, 0.6249999950781252]","[0.75, 0.75]","[0.75, 1.0]","[0.749999995, 0.8571428522448981]","[0.782267115600449, 0.9384412650602411]","[1.3165594234639305e-231, 1.1896457329133973e-231]","[0.7782230793136944, 0.8086574130777562]",0.8917554564771595,0.965311338822618,0.973114810937843,0.9135489471901359,0.9506583656501991
231,3.5,2.5,3.0,-4.610020637512207,-4.297514915466309,"[0.6414046883583069, 0.7688833475112915]","[0.6357031464576721, 0.7674444913864136]","[0.6385411620140076, 0.76816326379776]","[0.625, 0.75]","[0.625, 0.6666666666666666]","[0.624999995, 0.7058823479584776]","[0.2222222222222222, 0.4444444444444444]","[0.2, 0.36363636363636365]","[0.21052631080332423, 0.39999999505]","[0.5, 0.75]","[0.5, 0.6666666666666666]","[0.4999999950000001, 0.7058823479584776]","[0.4359925788497217, 0.6428433641975309]","[1.1896457329133973e-231, 1.3165594234639305e-231]","[0.4906017796023334, 0.6381972976842503]",0.6847999806392112,0.6200195355719519,0.7123375796840833,0.006521340653253442,0.4462928186364295
232,6.0,5.5,6.0,-4.418104648590088,-3.590081691741944,"[0.6901707649230957, 0.6752094030380249]","[0.8103539943695068, 0.8712617754936218]","[0.745449423789978, 0.7608084082603455]","[0.45454545454545453, 0.45454545454545453]","[0.625, 0.8333333333333334]","[0.5263157845983379, 0.5882352895501731]","[0.18181818181818182, 0.2727272727272727]","[0.25, 0.5]","[0.21052631091412755, 0.3529411719031142]","[0.36363636363636365, 0.36363636363636365]","[0.5, 0.6666666666666666]","[0.42105262670360116, 0.4705882307266437]","[0.555775708341589, 0.7401315789473685]","[1.2627076138080564e-231, 1.1409851298103347e-231]","[0.42730405485542844, 0.44837923717117023]",0.83389201758794,0.9539977156627885,0.9524773637812401,0.18449800613074804,0.6969910285249256
233,5.5,5.5,5.5,-3.801429748535156,-3.45949387550354,"[0.7246145009994507, 0.8167343139648438]","[0.643731415271759, 0.9134028553962708]","[0.6817824244499207, 0.8623679876327515]","[0.6666666666666666, 0.7777777777777778]","[0.46153846153846156, 1.0]","[0.5454545406198348, 0.8749999950781251]","[0.3, 0.6]","[0.23076923076923078, 0.8571428571428571]","[0.26086956030245756, 0.7058823480968859]","[0.4444444444444444, 0.5555555555555556]","[0.3076923076923077, 0.7142857142857143]","[0.36363635880165296, 0.6249999950781252]","[0.42942176870748294, 0.9272693452380953]","[1.384292958842266e-231, 1.2882297539194154e-231]","[0.4269829275829147, 0.6543017734479573]",0.8921105102685307,0.9750452009829523,0.979086199857988,0.5954425155012242,0.8498579721140548
234,6.0,6.0,6.0,-4.154725074768066,-3.40822172164917,[0.9999995827674866],[0.9999995827674866],[0.9999995827674866],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[0.996],[1.6034157163765524e-231],[1.0],0.926859029328872,0.9669023376499716,0.9727453065849909,0.9643065434856976,0.96798472924022
235,5.0,6.0,6.0,-2.9246320724487305,-2.4991800785064697,"[1.0, 0.9601824283599854]","[1.0, 0.950764000415802]","[1.0, 0.9554500579833984]","[1.0, 0.875]","[1.0, 0.7777777777777778]","[0.999999995, 0.823529406782007]","[1.0, 0.7142857142857143]","[1.0, 0.625]","[0.999999995, 0.6666666616888889]","[1.0, 0.875]","[1.0, 0.7777777777777778]","[0.999999995, 0.823529406782007]","[0.9993141289437586, 0.78677398989899]","[1.2387197655613557e-231, 1.2387197655613557e-231]","[1.0, 0.757381266927307]",0.9456692095147564,0.9829118302218098,0.9840636802724766,0.9633737139802995,0.976783074824862
236,6.0,5.0,4.0,-3.284825801849365,-2.809324264526367,"[1.0, 0.9509767293930054]","[1.0, 0.8800563216209412]","[1.0, 0.9141431450843811]","[1.0, 0.9090909090909091]","[1.0, 0.7142857142857143]","[0.999999995, 0.799999995072]","[1.0, 0.4]","[1.0, 0.3076923076923077]","[0.999999995, 0.34782608204158794]","[1.0, 0.7272727272727273]","[1.0, 0.5714285714285714]","[0.999999995, 0.639999995072]","[0.9997106481481481, 0.6875808174509473]","[1.1640469867513693e-231, 1.1640469867513693e-231]","[1.0, 0.6672326604591409]",0.8781863553934308,0.978528071858541,0.9788708187018097,0.784765461573395,0.914054784044582
237,4.0,5.0,5.0,-2.54324722290039,-2.45017957687378,"[0.993975043296814, 0.9491084814071655]","[0.9676544666290283, 0.941889762878418]","[0.9806382060050964, 0.9454853534698486]","[1.0, 0.7777777777777778]","[0.9, 0.7]","[0.9473684160664821, 0.7368421002770082]","[1.0, 0.5]","[0.8888888888888888, 0.4444444444444444]","[0.9411764656055364, 0.4705882303114187]","[1.0, 0.7777777777777778]","[0.9, 0.7]","[0.9473684160664821, 0.7368421002770082]","[0.9137614678899082, 0.6880733944954129]","[1.3483065280626046e-231, 1.3483065280626046e-231]","[0.890243134805781, 0.7601359907498579]",0.9139057016322724,0.9847769694418727,0.984934695552,0.9530247601055182,0.9742454750331303
238,6.0,4.0,5.0,-2.496405601501465,-2.7039635181427,"[0.9846621155738831, 0.8335551619529724]","[0.9682079553604126, 0.7791305780410767]","[0.9763656854629517, 0.8054245710372925]","[1.0, 0.7692307692307693]","[0.9285714285714286, 0.5555555555555556]","[0.9629629579698218, 0.6451612854526535]","[0.8333333333333334, 0.25]","[0.7142857142857143, 0.16666666666666666]","[0.7692307642603551, 0.1999999952000001]","[0.9230769230769231, 0.6923076923076923]","[0.8571428571428571, 0.5]","[0.8888888838957477, 0.5806451564203955]","[0.8757427021441488, 0.49395075402573063]","[1.2395288183339461e-231, 1.2395288183339461e-231]","[0.8121530721236371, 0.5304365061442615]",0.9272344494869584,0.9848037723444343,0.9838682023397008,0.9449879209038474,0.9712199651959942
239,6.0,6.0,6.0,-3.2444026470184326,-2.8641724586486816,"[0.8586161732673645, 0.9692026376724243]","[0.8107419013977051, 0.9528494477272034]","[0.8339925408363342, 0.9609563946723938]","[0.6428571428571429, 0.8571428571428571]","[0.6, 0.8571428571428571]","[0.6206896501783592, 0.8571428521428571]","[0.3076923076923077, 0.7692307692307693]","[0.2857142857142857, 0.7692307692307693]","[0.2962962913031551, 0.7692307642307693]","[0.5, 0.8571428571428571]","[0.4666666666666667, 0.8571428571428571]","[0.4827586156956005, 0.8571428521428571]","[0.548559670781893, 0.8613412228796845]","[9.257324954728539e-232, 1.1008876702055895e-231]","[0.546208109168937, 0.8684822253466981]",0.9426615471921556,0.9877709996855263,0.9884723715898223,0.9564003969162159,0.9775479227305214
240,5.0,5.0,4.0,-3.097006559371948,-3.906639575958252,"[0.7679827213287354, 0.7679081559181213]","[0.7443435192108154, 0.7807483673095703]","[0.7559783458709717, 0.7742750644683838]","[0.7142857142857143, 0.7142857142857143]","[0.45454545454545453, 0.5]","[0.5555555508024692, 0.5882352892733564]","[0.42857142857142855, 0.42857142857142855]","[0.2727272727272727, 0.3]","[0.3333333285802469, 0.3529411716262976]","[0.7142857142857143, 0.7142857142857143]","[0.45454545454545453, 0.5]","[0.5555555508024692, 0.5882352892733564]","[0.5037252996436669, 0.5424733996162567]","[1.2387197655613557e-231, 1.2387197655613557e-231]","[0.49583197994129047, 0.5150837614504293]",0.8417420033518692,0.8118987887044614,0.9102623936664362,0.004200187062825414,0.5754537898112411
241,3.5,3.0,2.5,-3.738258600234986,-3.799597978591919,"[0.8122111558914185, 0.7845827341079712]","[0.8019020557403564, 0.7276589870452881]","[0.8070236444473267, 0.755049467086792]","[0.9230769230769231, 0.8461538461538461]","[0.9230769230769231, 0.6470588235294118]","[0.9230769180769233, 0.7333333284222223]","[0.75, 0.5]","[0.6923076923076923, 0.35294117647058826]","[0.7199999950079999, 0.41379309859690844]","[0.8461538461538461, 0.6153846153846154]","[0.8461538461538461, 0.47058823529411764]","[0.8461538411538462, 0.5333333284222223]","[0.8412698412698414, 0.5842717717717718]","[9.418382295637229e-232, 1.1200407237786664e-231]","[0.6908048041107309, 0.5302678469582606]",0.7968594247471588,0.8523816285432639,0.9076695027622638,0.07483576395852404,0.6116289650880172
242,6.0,5.0,5.0,-3.228867292404175,-3.4417920112609863,"[0.7606191635131836, 0.7151331305503845]","[0.7835978865623474, 0.7655274868011475]","[0.7719375491142273, 0.7394726872444153]","[0.7333333333333333, 0.6]","[0.9166666666666666, 0.9]","[0.8148148098765432, 0.7199999952000001]","[0.3333333333333333, 0.26666666666666666]","[0.4166666666666667, 0.4]","[0.37037036543209884, 0.31999999520000005]","[0.6666666666666666, 0.5333333333333333]","[0.8333333333333334, 0.8]","[0.7407407358024692, 0.6399999952000001]","[0.6621503496503495, 0.5952000000000001]","[1.1808001696991507e-231, 1.1808001696991507e-231]","[0.5270486409879032, 0.468647853415754]",0.832893566252665,0.9707254099930243,0.972372988470542,0.47768971956511413,0.8069293726762267
243,4.0,4.0,2.0,-2.8761894702911377,-3.2146849632263184,"[0.9002799391746521, 0.8770952820777893]","[0.8476007580757141, 0.918994665145874]","[0.8731465339660645, 0.8975563049316406]","[0.9333333333333333, 0.8666666666666667]","[0.875, 1.0]","[0.9032258014568159, 0.9285714235969389]","[0.7333333333333333, 0.5333333333333333]","[0.6111111111111112, 0.6153846153846154]","[0.6666666617079889, 0.5714285664540818]","[0.6, 0.7333333333333333]","[0.5625, 0.8461538461538461]","[0.5806451562955255, 0.7857142807397959]","[0.7781765545685279, 0.9404880833452262]","[1.1808001696991507e-231, 1.0669733992029681e-231]","[0.6841447515021541, 0.8077785008493081]",0.7298514456157332,0.8889456527604073,0.9199854364232724,0.09410233118097883,0.6343444734548861
244,4.5,4.5,4.0,-3.0327398777008057,-3.044445276260376,"[0.9644678831100464, 0.920674204826355]","[0.9932073950767517, 0.9655360579490662]","[0.9786266684532166, 0.9425716400146484]","[0.9090909090909091, 0.9090909090909091]","[1.0, 1.0]","[0.9523809473922903, 0.9523809473922903]","[0.8181818181818182, 0.8181818181818182]","[0.9, 0.9]","[0.8571428521541952, 0.8571428521541952]","[0.9090909090909091, 0.9090909090909091]","[1.0, 1.0]","[0.9523809473922903, 0.9523809473922903]","[0.9894398530762167, 0.9791912632821724]","[1.1409851298103347e-231, 9.594503055152632e-232]","[0.9137548212805852, 0.8849173330271173]",0.8085771770067891,0.9569939212852641,0.9685019990318697,0.38307259307994757,0.7695228377990272
245,2.0,2.0,3.0,-3.9488158226013184,-3.638991355895996,"[0.7042185068130493, 0.7444055080413818]","[0.6719950437545776, 0.7965612411499023]","[0.68772953748703, 0.7696007490158081]","[0.5882352941176471, 0.5882352941176471]","[0.5555555555555556, 0.625]","[0.5714285664326532, 0.6060606010651974]","[0.23529411764705882, 0.23529411764705882]","[0.21052631578947367, 0.23529411764705882]","[0.22222221723765442, 0.23529411264705893]","[0.4117647058823529, 0.4117647058823529]","[0.3888888888888889, 0.4375]","[0.3999999950040816, 0.42424241924701567]","[0.45522836538461536, 0.4983552631578947]","[1.0377133938315695e-231, 1.0377133938315695e-231]","[0.4407347511955939, 0.5751399647425439]",0.7478613041892651,0.7258056584788759,0.8141660838528837,0.006563204395297552,0.515511648909019
246,4.0,5.0,4.5,-2.745872259140014,-3.500368356704712,"[0.9599325060844421, 0.8550422191619873]","[0.9359428286552429, 0.8412944078445435]","[0.9477859139442444, 0.8481125831604004]","[0.7272727272727273, 0.8181818181818182]","[0.7272727272727273, 0.8181818181818182]","[0.7272727222727273, 0.8181818131818183]","[0.6666666666666666, 0.5833333333333334]","[0.6666666666666666, 0.5384615384615384]","[0.6666666616666668, 0.559999995008]","[0.7272727272727273, 0.7272727272727273]","[0.7272727272727273, 0.7272727272727273]","[0.7272727222727273, 0.7272727222727273]","[0.7833530106257379, 0.7219598583234947]","[1.2395288183339461e-231, 1.1200407237786664e-231]","[0.8212672674040453, 0.7154959924458595]",0.8185341991783631,0.8716767821722087,0.9153277467394618,0.43261170837813545,0.7398720790966019
247,5.0,5.0,5.0,-2.936232089996338,-2.8430745601654053,"[0.9339526891708374, 0.8939927816390991]","[0.9314366579055786, 0.931510329246521]","[0.9326929450035095, 0.9123660326004028]","[0.7857142857142857, 0.7857142857142857]","[0.7333333333333333, 0.8461538461538461]","[0.7586206846611178, 0.8148148098216735]","[0.4, 0.6]","[0.375, 0.6428571428571429]","[0.3870967691987514, 0.6206896501783592]","[0.7142857142857143, 0.7857142857142857]","[0.6666666666666666, 0.8461538461538461]","[0.6896551674197384, 0.8148148098216735]","[0.7332402234636871, 0.8428059794456555]","[1.1808001696991507e-231, 8.972141065609098e-232]","[0.7738239463415828, 0.8468499628391941]",0.7970965296102188,0.8445810889253821,0.925078174373075,0.08535030770824176,0.6183365236688997
248,6.0,6.0,6.0,-3.161635160446167,-3.5463461875915527,"[0.933533787727356, 0.8905670642852783]","[0.9745189547538757, 0.9175132513046265]","[0.953586220741272, 0.9038393497467041]","[0.8461538461538461, 0.8461538461538461]","[1.0, 0.9166666666666666]","[0.9166666617013889, 0.879999995008]","[0.7142857142857143, 0.6428571428571429]","[0.8333333333333334, 0.6923076923076923]","[0.7692307642603551, 0.6666666616735254]","[0.8461538461538461, 0.6923076923076923]","[1.0, 0.75]","[0.9166666617013889, 0.7199999950079999]","[0.9810649611957458, 0.9060345992701717]","[1.0832677820940877e-231, 1.0832677820940877e-231]","[0.8946405494827318, 0.8291369074987623]",0.7720058900182216,0.8939976141071928,0.9325567883933615,0.1154171128491403,0.6473238384498983
249,6.0,6.0,5.0,-4.276611328125,-3.714094877243042,"[0.6624788641929626, 0.7051375508308411]","[0.719412624835968, 0.7652959823608398]","[0.68977290391922, 0.7339861989021301]","[0.5714285714285714, 0.7857142857142857]","[0.6153846153846154, 0.9166666666666666]","[0.5925925875994514, 0.8461538411834321]","[0.29411764705882354, 0.4117647058823529]","[0.3333333333333333, 0.5384615384615384]","[0.3124999950195313, 0.4666666617555556]","[0.42857142857142855, 0.6428571428571429]","[0.46153846153846156, 0.75]","[0.4444444394513032, 0.6923076873372783]","[0.6284318475452196, 0.8522727272727273]","[1.1484186507842885e-231, 1.2340561512781763e-231]","[0.4812129052666321, 0.5471173321830465]",0.8815554921581387,0.9784439440318949,0.9824042253985555,0.02088411054731076,0.6605774266592538
250,5.0,4.5,5.0,-3.96746563911438,-3.268349885940552,"[0.9771426320075989, 0.9008832573890686]","[0.9771426320075989, 0.8661595582962036]","[0.9771426320075989, 0.8831802010536194]","[0.8571428571428571, 0.7142857142857143]","[0.8571428571428571, 0.625]","[0.8571428521428571, 0.6666666616888889]","[0.6666666666666666, 0.5]","[0.6666666666666666, 0.42857142857142855]","[0.6666666616666668, 0.4615384565680473]","[0.8571428571428571, 0.7142857142857143]","[0.8571428571428571, 0.625]","[0.8571428521428571, 0.6666666616888889]","[0.864795918367347, 0.6320224719101123]","[1.1103055738259992e-231, 1.258141043412406e-231]","[0.922208731521846, 0.6173620542504097]",0.9554341005432097,0.981902135859437,0.9827009990437069,0.9610524649993428,0.9752185333008289
251,4.5,3.0,3.5,-3.2775754928588867,-3.643845319747925,"[0.7886136174201965, 0.8421106338500977]","[0.8251720070838928, 0.9322925209999084]","[0.80647873878479, 0.8849098682403564]","[0.8235294117647058, 0.7058823529411765]","[0.8235294117647058, 0.9230769230769231]","[0.8235294067647059, 0.7999999950888891]","[0.3157894736842105, 0.42105263157894735]","[0.3157894736842105, 0.6153846153846154]","[0.3157894686842106, 0.4999999951757813]","[0.5294117647058824, 0.7058823529411765]","[0.5294117647058824, 0.9230769230769231]","[0.5294117597058825, 0.7999999950888891]","[0.5552238805970149, 0.9307692307692308]","[1.012071042130996e-231, 1.1200407237786664e-231]","[0.6307780846129989, 0.7006914173346896]",0.7684236152275021,0.936546406306634,0.9558299339685384,0.028527482994286237,0.640301274423153
252,4.0,5.0,5.0,-4.163832187652588,-4.024950981140137,"[0.8263400793075562, 0.7919559478759766]","[0.8077849745750427, 0.7378416657447815]","[0.8169571757316589, 0.7639417052268982]","[0.6666666666666666, 0.8333333333333334]","[0.6666666666666666, 0.6666666666666666]","[0.6666666616666668, 0.7407407358024692]","[0.3333333333333333, 0.4166666666666667]","[0.2857142857142857, 0.2777777777777778]","[0.3076923027218935, 0.3333333285333334]","[0.6666666666666666, 0.75]","[0.6666666666666666, 0.6]","[0.6666666616666668, 0.6666666617283951]","[0.5645569620253165, 0.5179807907080635]","[1.2395288183339461e-231, 1.2395288183339461e-231]","[0.5573712569775695, 0.4915163052433247]",0.8760297071350898,0.7966447436290275,0.9137610604442538,0.0015901339274976218,0.5706653126669262
253,3.5,2.0,2.0,-4.154503345489502,-4.074155807495117,"[0.8427217602729797, 0.6873412132263184]","[0.8396163582801819, 0.7290089130401611]","[0.8411661982536316, 0.7075622081756592]","[0.7272727272727273, 0.45454545454545453]","[0.8, 0.7142857142857143]","[0.7619047569160999, 0.5555555508024692]","[0.5, 0.25]","[0.5454545454545454, 0.375]","[0.5217391254442345, 0.29999999520000004]","[0.6363636363636364, 0.36363636363636365]","[0.7, 0.5714285714285714]","[0.6666666616780046, 0.44444443969135805]","[0.8195066557314995, 0.6025778732545649]","[1.2395288183339461e-231, 1.1200407237786664e-231]","[0.7107594573378208, 0.5169181383322499]",0.7397765315240911,0.85618421383988,0.8781920561950486,0.015115380666569015,0.5831638835671659
254,4.0,2.5,2.5,-3.935863971710205,-4.4032793045043945,"[0.7711215019226074, 0.8233533501625061]","[0.693900465965271, 0.7719647884368896]","[0.7304758429527283, 0.7968314290046692]","[0.8, 0.7]","[0.6153846153846154, 0.7]","[0.6956521689981097, 0.699999995]","[0.5, 0.5]","[0.3333333333333333, 0.5]","[0.39999999520000007, 0.4999999950000001]","[0.7, 0.6]","[0.5384615384615384, 0.6]","[0.6086956472589792, 0.5999999950000001]","[0.4802322984141166, 0.7205058516833988]","[1.1200407237786664e-231, 1.2395288183339461e-231]","[0.5379896812456013, 0.6539624545139836]",0.573348965566655,0.7382955089994266,0.782251810677155,0.06985802337563378,0.5301351143507386
255,5.0,5.0,6.0,-3.2530517578125,-3.1226565837860107,"[0.9147118926048279, 0.9245231747627258]","[0.8679183721542358, 0.8937020897865295]","[0.8907009959220886, 0.9088513851165771]","[0.75, 0.75]","[0.6, 0.6666666666666666]","[0.6666666617283951, 0.7058823479584776]","[0.42857142857142855, 0.5714285714285714]","[0.3333333333333333, 0.5]","[0.37499999507812504, 0.5333333283555556]","[0.75, 0.75]","[0.6, 0.6666666666666666]","[0.6666666617283951, 0.7058823479584776]","[0.5876795162509448, 0.6792413935271077]","[1.384292958842266e-231, 1.384292958842266e-231]","[0.6087629227759457, 0.7150412111408414]",0.9325928828648716,0.9831691760936166,0.9834804862357738,0.9484916037366274,0.9717137553553393
256,6.0,5.0,4.0,-3.2634143829345703,-3.152621269226074,"[0.836722195148468, 0.8583159446716309]","[0.8330914974212646, 0.8719727993011475]","[0.8349028825759888, 0.8650904893875122]","[0.8181818181818182, 0.6363636363636364]","[0.6923076923076923, 0.7]","[0.7499999950347224, 0.6666666616780046]","[0.2727272727272727, 0.2727272727272727]","[0.25, 0.3333333333333333]","[0.26086956022684316, 0.2999999950500001]","[0.5454545454545454, 0.6363636363636364]","[0.46153846153846156, 0.7]","[0.4999999950347222, 0.6666666616780046]","[0.5897435897435898, 0.6696428571428572]","[1.1409851298103347e-231, 1.2627076138080564e-231]","[0.608157876414646, 0.6532604869743464]",0.8393671093807608,0.9271097766397747,0.9225052427773919,0.42280686852611016,0.7574739626477589
257,6.0,6.0,6.0,-2.5888314247131348,-2.764343738555908,"[0.9746826887130737, 0.9268796443939209]","[0.982912540435791, 0.8839351534843445]","[0.9787803292274475, 0.9048981070518494]","[0.8, 1.0]","[0.8888888888888888, 0.8333333333333334]","[0.8421052581717452, 0.9090909041322315]","[0.6666666666666666, 0.7777777777777778]","[0.75, 0.6363636363636364]","[0.7058823479584776, 0.6999999950500001]","[0.8, 0.8]","[0.8888888888888888, 0.6666666666666666]","[0.8421052581717452, 0.7272727223140496]","[0.8627717391304347, 0.8289915966386556]","[1.1896457329133973e-231, 1.1896457329133973e-231]","[0.7335402705075522, 0.7341946768269676]",0.8989940211968905,0.9865870796414137,0.9872714506578144,0.9613282526190767,0.9783955943061016
258,5.0,6.0,6.0,-2.7203102111816406,-3.141320943832397,"[0.9282669425010681, 0.9999998807907104]","[0.9339343905448914, 0.9999998807907104]","[0.9310920834541321, 0.9999998807907104]","[0.7777777777777778, 1.0]","[0.875, 1.0]","[0.823529406782007, 0.999999995]","[0.625, 1.0]","[0.7142857142857143, 1.0]","[0.6666666616888889, 0.999999995]","[0.7777777777777778, 1.0]","[0.875, 1.0]","[0.823529406782007, 0.999999995]","[0.855940934065934, 0.9995]","[1.3483065280626046e-231, 1.3483065280626046e-231]","[0.808210338662249, 1.0]",0.8902576145550828,0.9822395528838801,0.9831558612538704,0.9423680666712694,0.9692544936030066
259,5.0,3.0,3.0,-3.5575711727142334,-3.975372791290283,"[0.8343788385391235, 0.8823564052581787]","[0.9076146483421326, 0.936995804309845]","[0.8694573044776917, 0.9088556170463562]","[0.7, 0.8]","[0.875, 0.8888888888888888]","[0.7777777728395062, 0.8421052581717452]","[0.5555555555555556, 0.6666666666666666]","[0.7142857142857143, 0.75]","[0.6249999950781252, 0.7058823479584776]","[0.7, 0.8]","[0.875, 0.8888888888888888]","[0.7777777728395062, 0.8421052581717452]","[0.8466372282608694, 0.8861997310842195]","[1.1896457329133973e-231, 1.1896457329133973e-231]","[0.671398356625081, 0.7645197401785918]",0.8728838878580332,0.978927758831284,0.9808491548484869,0.9095716468244383,0.9564495201680697
260,6.0,5.0,2.0,-3.964810848236084,-3.768113136291504,"[0.8595942258834839, 0.9663760662078857]","[0.8044695854187012, 0.9219967126846313]","[0.8311188817024231, 0.9436649084091187]","[0.6666666666666666, 1.0]","[0.46153846153846156, 0.75]","[0.5454545406198348, 0.8571428522448981]","[0.4444444444444444, 0.8888888888888888]","[0.3333333333333333, 0.6666666666666666]","[0.38095237605442184, 0.7619047570068028]","[0.6666666666666666, 1.0]","[0.46153846153846156, 0.75]","[0.5454545406198348, 0.8571428522448981]","[0.4632802025919856, 0.7947758943113953]","[1.1896457329133973e-231, 1.1896457329133973e-231]","[0.5742322120710415, 0.7204330879082755]",0.766429687974918,0.9584723746567619,0.9622633169673659,0.16358783906248978,0.6947745102288726
261,5.0,6.0,5.0,-3.964011669158936,-4.054872512817383,[0.9392127394676208],[0.9290032386779785],[0.9340800642967224],[0.875],[0.7777777777777778],[0.823529406782007],[0.7142857142857143],[0.625],[0.6666666616888889],[0.875],[0.7777777777777778],[0.823529406782007],[0.8017676767676769],[1.2508498911928379e-231],[0.8091804404363065],0.9028523611830896,0.9800332184762081,0.9815951962414375,0.9367625440847638,0.9661303196008032
262,4.0,3.0,3.0,-4.173433780670166,-3.959518671035767,"[0.9081096649169922, 0.8456600904464722]","[0.8081741333007812, 0.7888518571853638]","[0.8552323579788208, 0.816268801689148]","[0.9, 0.7]","[0.6923076923076923, 0.5833333333333334]","[0.78260869073724, 0.6363636314049588]","[0.8888888888888888, 0.4444444444444444]","[0.6666666666666666, 0.36363636363636365]","[0.7619047570068028, 0.39999999505]","[0.9, 0.7]","[0.6923076923076923, 0.5833333333333334]","[0.78260869073724, 0.6363636314049588]","[0.7270072992700731, 0.5859375000000001]","[1.1896457329133973e-231, 1.1896457329133973e-231]","[0.6960263098643089, 0.5160374045311305]",0.5161087684595395,0.8171942354973799,0.8311746329827931,0.01026401898084552,0.5528776291536729
