id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
39_Nucleus Decoding (p = 0.7),0.6666666666666666,1.6666666666666667,2.0,2.333333333333333,0.6666666666666666,2.6666666666666665,-3.3337044715881348,-4.131406784057617,[0.5964990258216858],[0.5883814096450806],[0.5924123525619507],[0.36363636363636365],[0.25],[0.2962962914677641],[0.0],[0.0],[0.0],[0.2727272727272727],[0.1875],[0.22222221739369008],[0.11560693641618497],[0],[0.16440188862229488],0.0210849000816098,0.7064921394191366,0.7086713752849131,0.8732657477801091,0.7628097541613862
39_New Human Generated,1.0,2.6666666666666665,3.0,2.6666666666666665,1.0,4.666666666666667,-2.9000611305236816,-3.65667462348938,[0.695217490196228],[0.7271389961242676],[0.7108200192451477],[0.4117647058823529],[0.4375],[0.42424241924701567],[0.10526315789473684],[0.125],[0.11428570932244919],[0.35294117647058826],[0.375],[0.363636358640955],[0.4166666666666667],[1.0003688322288243e-231],[0.3400129834244072],0.0676980127209718,0.32297013571893357,0.3758408653864638,0.9449789096943672,0.5479299702665882
40_Argmax Decoding,0.3333333333333333,2.0,2.0,1.6666666666666667,0.3333333333333333,2.333333333333333,-2.042454957962036,-2.4999542236328125,[0.4497699737548828],[0.3644273281097412],[0.4026259183883667],[0.2],[0.16666666666666666],[0.18181817685950424],[0.0625],[0.05],[0.05555555061728439],[0.2],[0.16666666666666666],[0.18181817685950424],[0.11013215859030837],[1.1337861261109773e-231],[-0.1270555689948023],0.4387019829516366,0.39317577923865515,0.461488242569299,0.8927692513549353,0.5824777577209632
40_Nucleus Decoding (p = 0.3),0.3333333333333333,2.333333333333333,2.333333333333333,2.0,1.0,3.0,-2.9257850646972656,-3.891230344772339,[0.7482070922851562],[0.7783080339431763],[0.7629607915878296],[0.5714285714285714],[0.6666666666666666],[0.6153846104142012],[0.43478260869565216],[0.5],[0.465116274094105],[0.5714285714285714],[0.6666666666666666],[0.6153846104142012],[0.6345785440613028],[1.072268715173723e-231],[0.3740643783679716],0.3287436023639084,0.5648226908334366,0.5867445864514456,0.9101673770652163,0.6872448847833662
40_Nucleus Decoding (p = 0.5),0.0,1.0,1.3333333333333333,1.0,0.0,1.0,-3.2901382446289062,-4.4406609535217285,[0.5083129405975342],[0.3716774582862854],[0.42938753962516785],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.02293577981651376],[1.1896457329133973e-231],[-0.146235918032652],0.2523178570092632,0.10321904519465683,0.13925016698168038,0.6633001111433013,0.30192310777321285
40_Nucleus Decoding (p = 0.7),0.3333333333333333,2.333333333333333,2.0,2.0,0.0,2.333333333333333,-3.245900869369507,-4.268455505371094,[0.4825833737850189],[0.3928603529930115],[0.4331240952014923],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.02252252252252252],[1.1008876702055895e-231],[-0.11797910595548333],0.0503453360578506,0.11583021545107164,0.09565290369158491,0.9130332365565703,0.3748387852330756
40_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-2.9324095249176025,-3.43339467048645,[0.5062278509140015],[0.5769932866096497],[0.5392990112304688],[0.1875],[0.3333333333333333],[0.2399999953920001],[0.08571428571428572],[0.15],[0.10909090446281011],[0.125],[0.2222222222222222],[0.15999999539200013],[0.2843496963562753],[8.614911585158347e-232],[0.05294103964449215],0.26372690792575,0.9483995425531626,0.6691710011509125,0.9378336052694799,0.851801382991185
41_Argmax Decoding,0.6666666666666666,2.0,2.333333333333333,2.333333333333333,0.6666666666666666,3.0,-1.7360981702804563,-2.758279800415039,[0.44895994663238525],[0.5837074518203735],[0.5075424313545227],[0.29411764705882354],[0.45454545454545453],[0.357142852372449],[0.0625],[0.1],[0.0769230721893494],[0.29411764705882354],[0.45454545454545453],[0.357142852372449],[0.29760000000000003],[1.1808001696991507e-231],[-0.003662982994093289],0.2262628128840389,0.7960811891452161,0.8143687697430473,0.94154388744396,0.8506646154440745
41_Nucleus Decoding (p = 0.3),0.0,1.6666666666666667,1.0,1.0,0.6666666666666666,1.6666666666666667,-1.919075846672058,-3.2940785884857178,[0.48346275091171265],[0.5682764053344727],[0.5224498510360718],[0.1875],[0.2727272727272727],[0.22222221739369008],[0.0],[0.0],[0.0],[0.1875],[0.2727272727272727],[0.22222221739369008],[0.15873015873015875],[1.1640469867513693e-231],[-0.03736060749319181],0.3452727763150774,0.15020118801701,0.30352850541002374,0.9081743960541728,0.4539680298270688
41_Nucleus Decoding (p = 0.5),0.6666666666666666,2.333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.6666666666666667,-2.1877801418304443,-2.714061737060547,[0.5382615327835083],[0.6585667133331299],[0.5923675894737244],[0.26666666666666666],[0.36363636363636365],[0.3076923028106509],[0.058823529411764705],[0.1],[0.0740740694101512],[0.26666666666666666],[0.36363636363636365],[0.3076923028106509],[0.2929133858267717],[1.0377133938315695e-231],[0.06259748031967116],0.7320582270241718,0.7362315844737721,0.7369048894637247,0.9475829586573636,0.8069064775316201
