id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
46_KV-MemNN,1.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.0,2.6666666666666665,-3.5156819820404053,-4.954415798187256,[0.5433585047721863],[0.5107204914093018],[0.5265341997146606],[0.3333333333333333],[0.2],[0.24999999531250006],[0.0],[0.0],[0.0],[0.3333333333333333],[0.2],[0.24999999531250006],[0.0925925925925926],[1.0518351895246305e-231],[0.08748489183229147],0.0153867098165963,0.26612300197563493,0.37811254927390264,0.9164011335809268,0.5202122282768215
46_Seq2Seq,1.0,3.0,3.0,2.6666666666666665,0.3333333333333333,4.0,-2.6182000637054443,-3.5935773849487305,[0.605543851852417],[0.553823709487915],[0.5785301327705383],[0.25],[0.2],[0.22222221728395072],[0.08333333333333333],[0.06666666666666667],[0.07407406913580279],[0.25],[0.2],[0.22222221728395072],[0.11976047904191618],[1.1200407237786664e-231],[0.18788144680841146],0.0652488824734031,0.4018903019953678,0.29511683448135145,0.6008718987677,0.4326263450814731
46_Language Model,1.0,2.333333333333333,3.0,2.6666666666666665,0.0,3.333333333333333,-2.4912734031677246,-3.3681647777557373,[0.5202337503433228],[0.5146434903144836],[0.5174235105514526],[0.25],[0.26666666666666666],[0.2580645111342353],[0.0],[0.0],[0.0],[0.1875],[0.2],[0.19354838210197725],[0.14619883040935672],[1.1640469867513693e-231],[0.07408912982374838],0.073164721441196,0.049496301775379385,0.30095314731603434,0.6713886297750775,0.3406126929554971
46_New Human Generated,1.0,3.0,3.0,2.6666666666666665,1.0,4.666666666666667,-3.2523179054260254,-3.871020793914795,[0.5277665853500366],[0.5430065989494324],[0.5352782011032104],[0.23529411764705882],[0.26666666666666666],[0.24999999501953132],[0.0],[0.0],[0.0],[0.17647058823529413],[0.2],[0.18749999501953143],[0.14534883720930233],[1.1484186507842885e-231],[0.037037890249141836],0.0273282405994282,0.10136169105354548,0.07330824723251207,0.8895377431215523,0.3547358938025366
47_KV-MemNN,1.0,2.6666666666666665,1.6666666666666667,2.6666666666666665,0.0,3.0,-3.666442632675171,-4.031599998474121,[0.5022896528244019],[0.5051939487457275],[0.5037376284599304],[0.2222222222222222],[0.15384615384615385],[0.18181817698347122],[0.1111111111111111],[0.08333333333333333],[0.09523809034013632],[0.2222222222222222],[0.15384615384615385],[0.18181817698347122],[0.18653690186536898],[1.1896457329133973e-231],[0.09376345060473312],0.0618720365159529,0.4784636095133333,0.4751042814650732,0.9158865986924598,0.6231514965569555
47_Seq2Seq,1.0,3.0,2.333333333333333,2.333333333333333,1.0,3.6666666666666665,-2.079056024551392,-2.940741539001465,[0.7759346961975098],[0.6056520938873291],[0.6802995800971985],[0.5714285714285714],[0.3076923076923077],[0.3999999954500001],[0.16666666666666666],[0.08333333333333333],[0.11111110666666683],[0.5714285714285714],[0.3076923076923077],[0.3999999954500001],[0.2796992481203007],[1.2778269941762074e-231],[0.23537630443984903],0.3038212724811195,0.8417635970675014,0.8540249537686211,0.9586795972503868,0.8848227160288363
47_Language Model,1.0,2.0,1.3333333333333333,1.6666666666666667,0.0,1.6666666666666667,-3.0622382164001465,-3.591907262802124,[0.40196576714515686],[0.39112144708633423],[0.39646944403648376],[0.5],[0.23076923076923078],[0.31578946936288094],[0.16666666666666666],[0.08333333333333333],[0.11111110666666683],[0.5],[0.23076923076923078],[0.31578946936288094],[0.2320772058823529],[1.4488496539373276e-231],[0.10198363496344764],0.9184254185477752,0.28984736223513596,0.5582033983338395,0.5099078169614502,0.4526528591768086
47_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-5.415826320648193,-4.977658271789551,[0.5690412521362305],[0.5578125715255737],[0.563370943069458],[0.15384615384615385],[0.15384615384615385],[0.15384614884615402],[0.0],[0.0],[0.0],[0.15384615384615385],[0.15384615384615385],[0.15384614884615402],[0.14285714285714285],[9.418382295637229e-232],[0.2633997651800265],0.8761444593313665,0.05331895700837832,0.7928550394077212,0.020761324589326766,0.2889784403351421
48_KV-MemNN,1.0,3.0,2.333333333333333,2.6666666666666665,0.0,2.6666666666666665,-2.757976531982422,-2.5793042182922363,[0.5050198435783386],[0.4850142300128937],[0.4948149025440216],[0.07692307692307693],[0.06666666666666667],[0.071428566454082],[0.0],[0.0],[0.0],[0.07692307692307693],[0.06666666666666667],[0.071428566454082],[0.059523809523809534],[1.1008876702055895e-231],[-0.030373978092942178],0.6749972537114528,0.5704243212768734,0.5840253931321401,0.9108201244360943,0.6884232796150359
48_Seq2Seq,1.0,2.6666666666666665,2.0,2.6666666666666665,1.0,3.6666666666666665,-2.4477906227111816,-2.879863739013672,[0.5204792022705078],[0.48769479990005493],[0.5035539865493774],[0.25],[0.2],[0.22222221728395072],[0.0],[0.0],[0.0],[0.25],[0.2],[0.22222221728395072],[0.11976047904191618],[1.1200407237786664e-231],[-0.018599332852177408],0.1631313268743237,0.17350670127349677,0.2008803943761966,0.6285109518406197,0.3342993491634377
48_Language Model,1.0,2.333333333333333,1.6666666666666667,2.6666666666666665,0.0,2.333333333333333,-2.5315866470336914,-3.1071457862854004,[0.5169445872306824],[0.48016947507858276],[0.49787887930870056],[0.25],[0.26666666666666666],[0.2580645111342353],[0.0],[0.0],[0.0],[0.25],[0.26666666666666666],[0.2580645111342353],[0.14534883720930233],[1.1484186507842885e-231],[-0.03228087138295388],0.0100616002734189,0.30309544362750246,0.2749889239504,0.9524607993599612,0.5101817223126212
48_New Human Generated,1.0,3.0,2.333333333333333,3.0,1.0,4.666666666666667,-3.296971559524536,-4.25288724899292,[0.49335795640945435],[0.5467644333839417],[0.5186901092529297],[0.17647058823529413],[0.2],[0.18749999501953143],[0.0],[0.0],[0.0],[0.17647058823529413],[0.2],[0.18749999501953143],[0.245051085568327],[8.510469113101058e-232],[-0.0022870712141860317],0.3312156096966192,0.25107922371889185,0.4041561368990329,0.9102595633707988,0.5218316413295745
49_KV-MemNN,1.0,3.0,2.0,2.0,0.3333333333333333,3.0,-3.679718494415283,-4.645893573760986,[0.46299582719802856],[0.5705434083938599],[0.5111739635467529],[0.2857142857142857],[0.25],[0.266666661688889],[0.16666666666666666],[0.14285714285714285],[0.1538461488757398],[0.2857142857142857],[0.25],[0.266666661688889],[0.2373417721518987],[1.1200407237786664e-231],[0.19393651556017455],0.0757061527095321,0.06263215690037807,0.10836385724944603,0.7987284547252281,0.3232414896250174
49_Seq2Seq,1.0,2.6666666666666665,3.0,2.333333333333333,0.6666666666666666,4.0,-3.017569065093994,-3.5751781463623047,[0.6777712106704712],[0.7022326588630676],[0.6897851228713989],[0.6666666666666666],[0.5],[0.5714285665306124],[0.3333333333333333],[0.2857142857142857],[0.3076923027218935],[0.6666666666666666],[0.5],[0.5714285665306124],[0.45731707317073167],[1.3483065280626046e-231],[0.2427293307487538],0.0714050149829974,0.048855651798065565,0.07509208331797056,0.923713298147814,0.34922034442128336
49_Language Model,0.6666666666666666,2.333333333333333,2.0,1.6666666666666667,0.0,2.0,-3.154033899307251,-4.011075019836426,[0.5971670150756836],[0.566784143447876],[0.5815790295600891],[0.6666666666666666],[0.5],[0.5714285665306124],[0.3333333333333333],[0.2857142857142857],[0.3076923027218935],[0.6666666666666666],[0.5],[0.5714285665306124],[0.46296296296296297],[1.384292958842266e-231],[0.20677928601434947],0.3461568276981462,0.024323546894916667,0.04872303287243607,0.45304530187786485,0.17536396054840586
49_New Human Generated,1.0,3.0,3.0,2.6666666666666665,1.0,4.666666666666667,-3.218035221099853,-3.527752637863159,[0.5151437520980835],[0.6334841251373291],[0.5682178139686584],[0.2],[0.25],[0.22222221728395072],[0.0],[0.0],[0.0],[0.2],[0.25],[0.22222221728395072],[0.11627906976744187],[1.1200407237786664e-231],[0.08626213986247022],0.2406273032775616,0.048053726718116675,0.10794590089210897,0.8594755305390621,0.3384917193830959
50_KV-MemNN,1.0,3.0,3.0,1.6666666666666667,0.0,3.6666666666666665,-3.334912061691284,-4.11870813369751,[0.3947572112083435],[0.41137659549713135],[0.40289559960365295],[0.3333333333333333],[0.2],[0.24999999531250006],[0.2],[0.1111111111111111],[0.14285713826530627],[0.3333333333333333],[0.2],[0.24999999531250006],[0.32877604166666663],[1.1640469867513693e-231],[-0.009289108815430769],0.2464339924375155,0.4318149949506607,0.47105725266177106,0.34502926102882175,0.4159671695470845
50_Seq2Seq,1.0,3.0,3.0,1.6666666666666667,0.0,4.0,-2.972853899002075,-2.156633377075196,[0.41239380836486816],[0.45545101165771484],[0.4328542947769165],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.15151515151515152],[1.0518351895246305e-231],[0.0054577289921933225],0.0965524536042248,0.769008424714134,0.7500044182473586,0.9433525286654062,0.8207884572089662
50_Language Model,1.0,3.0,3.0,1.6666666666666667,0.0,4.0,-3.1271796226501465,-2.3082351684570312,[0.42012035846710205],[0.44660502672195435],[0.43295803666114807],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.15151515151515152],[1.0518351895246305e-231],[0.0006448617099891196],0.488156937217073,0.8007707247157213,0.8335802464876866,0.8684266959561278,0.8342592223865118
50_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-4.014149188995361,-3.944118022918701,[0.5171717405319214],[0.5119644999504089],[0.5145549774169922],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.09708737864077671],[9.594503055152632e-232],[0.05548702578087461],0.2444451250150175,0.881549513384438,0.8785718754311445,0.8610023761568448,0.8737079216574758
51_KV-MemNN,1.0,1.6666666666666667,2.333333333333333,2.6666666666666665,0.0,3.0,-4.330951690673828,-4.854260921478272,[0.4374871253967285],[0.527177095413208],[0.47816264629364014],[0.0625],[0.125],[0.08333332888888913],[0.0],[0.0],[0.0],[0.0625],[0.125],[0.08333332888888913],[0.11111111111111112],[1.0518351895246305e-231],[-0.09599972659407796],0.6319309651527674,0.35859987424944634,0.33312557534125004,0.7463708387946713,0.4793654294617892
51_Seq2Seq,1.0,3.0,3.0,1.6666666666666667,0.0,4.0,-1.7596346139907837,-3.047652006149292,[0.7707369923591614],[0.8288872241973877],[0.7987551689147949],[0.5555555555555556],[0.625],[0.5882352891349482],[0.375],[0.42857142857142855],[0.3999999950222222],[0.5555555555555556],[0.625],[0.5882352891349482],[0.5902439024390245],[1.0244914152188952e-231],[0.6092113813109853],0.5716169310351716,0.6411456180079604,0.5855747516766645,0.8804220461610024,0.7023808052818757
51_Language Model,1.0,3.0,1.0,2.333333333333333,0.0,2.6666666666666665,-3.3627305030822754,-2.889039993286133,[0.4585708677768707],[0.4438391625881195],[0.45108476281166077],[0.1111111111111111],[0.125],[0.11764705384083066],[0.0],[0.0],[0.0],[0.1111111111111111],[0.125],[0.11764705384083066],[0.06097560975609756],[1.2183324802375697e-231],[-0.07103573325420376],0.5236941449150201,0.7290372633785476,0.7979049130805721,0.9413136919906827,0.8227519561499341
51_New Human Generated,1.0,3.0,3.0,2.6666666666666665,1.0,4.666666666666667,-3.583855390548706,-3.3071541786193848,[0.47401702404022217],[0.6371005773544312],[0.5435906052589417],[0.11764705882352941],[0.25],[0.1599999956480001],[0.0625],[0.14285714285714285],[0.0869565175047261],[0.11764705882352941],[0.25],[0.1599999956480001],[0.2777777777777778],[8.614911585158347e-232],[-0.04535427334790487],0.2433648654379039,0.3123260112211139,0.3686375891206904,0.9241389317069109,0.5350341773495717
52_KV-MemNN,1.0,3.0,1.6666666666666667,2.0,0.0,3.0,-2.917207717895508,-4.245105743408203,[0.47370392084121704],[0.45718514919281006],[0.46529796719551086],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0],[0.06692617552373736],0.8699944172299804,0.44251879884450335,0.6572811948121199,0.7632234941657449,0.6210078292741227
52_Seq2Seq,1.0,3.0,3.0,1.6666666666666667,0.0,3.6666666666666665,-3.0402474403381348,-4.346588611602783,[0.5538775324821472],[0.5121598243713379],[0.5322023630142212],[0.375],[0.42857142857142855],[0.3999999950222222],[0.0],[0.0],[0.0],[0.375],[0.42857142857142855],[0.3999999950222222],[0.2112676056338028],[1.2882297539194154e-231],[0.11828045618424565],0.1581527356162315,0.17672966266128504,0.28758826139074933,0.832891680285364,0.43240320144579947
52_Language Model,1.0,3.0,1.3333333333333333,2.6666666666666665,0.0,3.0,-2.4201366901397705,-2.4944615364074707,[0.5271832942962646],[0.5137646198272705],[0.5203874707221985],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[9.788429383461836e-232],[0.09021325597932095],0.1595431131670552,0.43816690970896616,0.4978564906433699,0.9507528623764688,0.6289254209096016
52_New Human Generated,1.0,3.0,2.333333333333333,3.0,1.0,4.666666666666667,-5.053109169006348,-5.148031711578369,[0.47253137826919556],[0.5384630560874939],[0.5033473968505859],[0.07142857142857142],[0.14285714285714285],[0.095238090793651],[0.0],[0.0],[0.0],[0.07142857142857142],[0.14285714285714285],[0.095238090793651],[0.06410256410256411],[1.1008876702055895e-231],[0.1190598837237914],0.4994673205732017,0.07362920254360017,0.2738118649944683,0.34365682011153786,0.23036596254986877
53_KV-MemNN,1.0,2.6666666666666665,3.0,2.333333333333333,0.0,3.6666666666666665,-2.520580291748047,-4.881303787231445,[0.6518048048019409],[0.5735007524490356],[0.6101507544517517],[0.3333333333333333],[0.2],[0.24999999531250006],[0.0],[0.0],[0.0],[0.3333333333333333],[0.2],[0.24999999531250006],[0.15625],[1.1640469867513693e-231],[0.2570648444902036],0.1625553414384692,0.720097386197123,0.8591418655235961,0.8701207276531621,0.8164533264579604
53_Seq2Seq,1.0,3.0,1.6666666666666667,2.333333333333333,0.0,3.0,-4.047873973846436,-4.926724433898926,[0.500845730304718],[0.44127026200294495],[0.469174325466156],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.1200407237786664e-231],[0.003373008177172343],0.1143470779988703,0.4341903734553509,0.459386267090213,0.9122938923599606,0.6019568443018415
53_Language Model,1.0,2.6666666666666665,1.6666666666666667,2.0,0.3333333333333333,3.0,-3.256401777267456,-3.5442020893096924,[0.43707677721977234],[0.40934473276138306],[0.42275649309158325],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.05000000000000001],[1.0244914152188952e-231],[0.14467563290986907],0.1493186519482276,0.23634301231811772,0.7002676416605997,0.9143924741312902,0.6170010427033359
